"Identifier","Version No","Category","Topics","Type","Text","Status","Version Date","Notation","Document Version","Regex"
"504","8","Environmental","Schedule Z1 - Proclaimed Irrigation Districts & Surface Water Areas (WRC)","Condition","Excavation activities are prohibited on any existing or designated future irrigation districts, or on any area of land within 50 metres of the banks of an irrigation channel, drain, wetland or watercourse, unless undertaken with the written permission from the Executive Director, Environment Division, DMP and the Department of Water.","Inactive","09/11/2011 00:00:01 onwards","","Jun-17","(?i)^[\s?.*-:]*Excavation[^A-Z0-9]+activities[^A-Z0-9]+are[^A-Z0-9]+prohibited[^A-Z0-9]+on[^A-Z0-9]+any[^A-Z0-9]+existing[^A-Z0-9]+or[^A-Z0-9]+designated[^A-Z0-9]+future[^A-Z0-9]+irrigation[^A-Z0-9]+districts[^A-Z0-9]+or[^A-Z0-9]+on[^A-Z0-9]+any[^A-Z0-9]+area[^A-Z0-9]+of[^A-Z0-9]+land[^A-Z0-9]+within[^A-Z0-9]+50[^A-Z0-9]+metres[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+banks[^A-Z0-9]+of[^A-Z0-9]+an[^A-Z0-9]+irrigation[^A-Z0-9]+channel[^A-Z0-9]+drain[^A-Z0-9]+wetland[^A-Z0-9]+or[^A-Z0-9]+watercourse[^A-Z0-9]+unless[^A-Z0-9]+undertaken[^A-Z0-9]+with[^A-Z0-9]+the[^A-Z0-9]+written[^A-Z0-9]+permission[^A-Z0-9]+from[^A-Z0-9]+the[^A-Z0-9]+Executive[^A-Z0-9]+Director[^A-Z0-9]+Environment[^A-Z0-9]+Division[^A-Z0-9]+DMP[^A-Z0-9]+and[^A-Z0-9]+the[^A-Z0-9]+Department[^A-Z0-9]+of[^A-Z0-9]+Water[\s?.*-:]*$"
"505","2","General","GDA Exploration Licence (over existing AGD E)","Endorsement","The grant of this licence does not include the land the subject of prior Exploration Licence **PROMPT**. If the prior licence expires, is surrendered or forfeited that land may be included in this licence, subject to the provisions of the Third Schedule of the Mining Regulations 1981 titled ""Transitional provisions relating to Geocentric Datum of Australia"".","Active","04/09/2002 00:00:00 onwards","Use where GDA 'E' overlaps existing AGD 'E'.","Feb-20","(?i)^[\s?.*-:]*The[^A-Z0-9]+grant[^A-Z0-9]+of[^A-Z0-9]+this[^A-Z0-9]+licence[^A-Z0-9]+does[^A-Z0-9]+not[^A-Z0-9]+include[^A-Z0-9]+the[^A-Z0-9]+land[^A-Z0-9]+the[^A-Z0-9]+subject[^A-Z0-9]+of[^A-Z0-9]+prior[^A-Z0-9]+Exploration[^A-Z0-9]+Licence[^A-Z0-9]+.+[^A-Z0-9]+If[^A-Z0-9]+the[^A-Z0-9]+prior[^A-Z0-9]+licence[^A-Z0-9]+expires[^A-Z0-9]+is[^A-Z0-9]+surrendered[^A-Z0-9]+or[^A-Z0-9]+forfeited[^A-Z0-9]+that[^A-Z0-9]+land[^A-Z0-9]+may[^A-Z0-9]+be[^A-Z0-9]+included[^A-Z0-9]+in[^A-Z0-9]+this[^A-Z0-9]+licence[^A-Z0-9]+subject[^A-Z0-9]+to[^A-Z0-9]+the[^A-Z0-9]+provisions[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+Third[^A-Z0-9]+Schedule[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+Mining[^A-Z0-9]+Regulations[^A-Z0-9]+1981[^A-Z0-9]+titled[^A-Z0-9]+Transitional[^A-Z0-9]+provisions[^A-Z0-9]+relating[^A-Z0-9]+to[^A-Z0-9]+Geocentric[^A-Z0-9]+Datum[^A-Z0-9]+of[^A-Z0-9]+Australia[^A-Z0-9]+[\s?.*-:]*$"
"508","8","Standards for Tenement Types","Miscellaneous Licence (Basic)","Condition","The Licensee submitting a plan of proposed operations and measures to safeguard the environment to the Executive Director, Environment Division, DMP for assessment and written approval prior to commencing any development or construction.","Inactive","09/11/2011 00:00:01 onwards","Impose on all miscellaneous licences on grant.","Jun-17","(?i)^[\s?.*-:]*The[^A-Z0-9]+Licensee[^A-Z0-9]+submitting[^A-Z0-9]+a[^A-Z0-9]+plan[^A-Z0-9]+of[^A-Z0-9]+proposed[^A-Z0-9]+operations[^A-Z0-9]+and[^A-Z0-9]+measures[^A-Z0-9]+to[^A-Z0-9]+safeguard[^A-Z0-9]+the[^A-Z0-9]+environment[^A-Z0-9]+to[^A-Z0-9]+the[^A-Z0-9]+Executive[^A-Z0-9]+Director[^A-Z0-9]+Environment[^A-Z0-9]+Division[^A-Z0-9]+DMP[^A-Z0-9]+for[^A-Z0-9]+assessment[^A-Z0-9]+and[^A-Z0-9]+written[^A-Z0-9]+approval[^A-Z0-9]+prior[^A-Z0-9]+to[^A-Z0-9]+commencing[^A-Z0-9]+any[^A-Z0-9]+development[^A-Z0-9]+or[^A-Z0-9]+construction[\s?.*-:]*$"
"508","9","Standards for Tenement Types","Miscellaneous Licence (Basic)","Condition","The Licensee submitting a plan of proposed operations and measures to safeguard the environment to the Executive Director, Resource and Environmental Compliance, Department of Mines, Industry Regulation and Safety for their assessment and written approval prior to commencing any developmental or productive mining or construction activity.","Active","09/11/2011 00:00:02 onwards","Impose on all miscellaneous licences on grant.","Feb-20","(?i)^[\s?.*-:]*The[^A-Z0-9]+Licensee[^A-Z0-9]+submitting[^A-Z0-9]+a[^A-Z0-9]+plan[^A-Z0-9]+of[^A-Z0-9]+proposed[^A-Z0-9]+operations[^A-Z0-9]+and[^A-Z0-9]+measures[^A-Z0-9]+to[^A-Z0-9]+safeguard[^A-Z0-9]+the[^A-Z0-9]+environment[^A-Z0-9]+to[^A-Z0-9]+the[^A-Z0-9]+Executive[^A-Z0-9]+Director[^A-Z0-9]+Resource[^A-Z0-9]+and[^A-Z0-9]+Environmental[^A-Z0-9]+Compliance[^A-Z0-9]+Department[^A-Z0-9]+of[^A-Z0-9]+Mines[^A-Z0-9]+Industry[^A-Z0-9]+Regulation[^A-Z0-9]+and[^A-Z0-9]+Safety[^A-Z0-9]+for[^A-Z0-9]+their[^A-Z0-9]+assessment[^A-Z0-9]+and[^A-Z0-9]+written[^A-Z0-9]+approval[^A-Z0-9]+prior[^A-Z0-9]+to[^A-Z0-9]+commencing[^A-Z0-9]+any[^A-Z0-9]+developmental[^A-Z0-9]+or[^A-Z0-9]+productive[^A-Z0-9]+mining[^A-Z0-9]+or[^A-Z0-9]+construction[^A-Z0-9]+activity[\s?.*-:]*$"
"511","4","Standards for Tenement Types","Mining Lease (Basic) Mining Lease (Ongoing mining operations)","Endorsement","This mining lease authorises the mining of the land for all minerals as defined in Section 8 of the Mining Act 1978 with the exception of: •Uranium ore; •Iron, unless specifically authorised under Section 111 of the Act","Inactive","01/06/2007 00:00:00 - 10/11/2008 23:59:59","No uranium mining for nuclear purposes allowed on M granted after 25/6/2002","Mar-16","(?i)^[\s?.*-:]*This[^A-Z0-9]+mining[^A-Z0-9]+lease[^A-Z0-9]+authorises[^A-Z0-9]+the[^A-Z0-9]+mining[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+land[^A-Z0-9]+for[^A-Z0-9]+all[^A-Z0-9]+minerals[^A-Z0-9]+as[^A-Z0-9]+defined[^A-Z0-9]+in[^A-Z0-9]+Section[^A-Z0-9]+8[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+Mining[^A-Z0-9]+Act[^A-Z0-9]+1978[^A-Z0-9]+with[^A-Z0-9]+the[^A-Z0-9]+exception[^A-Z0-9]+of[^A-Z0-9]+Uranium[^A-Z0-9]+ore[^A-Z0-9]+Iron[^A-Z0-9]+unless[^A-Z0-9]+specifically[^A-Z0-9]+authorised[^A-Z0-9]+under[^A-Z0-9]+Section[^A-Z0-9]+111[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+Act[\s?.*-:]*$"
"511","6","Standards for Tenement Types","Mining Lease (Basic) Mining Lease (Ongoing mining operations)","Endorsement","This mining lease authorises the mining of the land for all minerals as defined in Section 8 of the Mining Act 1978 with the exception of uranium ore.","Active","26/04/2017 00:00:02 onwards","No uranium mining for nuclear purposes allowed on M granted from 26 April 2017","Jun-17","(?i)^[\s?.*-:]*This[^A-Z0-9]+mining[^A-Z0-9]+lease[^A-Z0-9]+authorises[^A-Z0-9]+the[^A-Z0-9]+mining[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+land[^A-Z0-9]+for[^A-Z0-9]+all[^A-Z0-9]+minerals[^A-Z0-9]+as[^A-Z0-9]+defined[^A-Z0-9]+in[^A-Z0-9]+Section[^A-Z0-9]+8[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+Mining[^A-Z0-9]+Act[^A-Z0-9]+1978[^A-Z0-9]+with[^A-Z0-9]+the[^A-Z0-9]+exception[^A-Z0-9]+of[^A-Z0-9]+uranium[^A-Z0-9]+ore[\s?.*-:]*$"
"512","2","General","Ord River Regeneration Reserve","Condition","The Officer in Charge of the Ord River Regeneration Reserve 28538, Department of Agriculture Kununurra being advised of all intended activities on the reserve prior to the commencement of those activities.","Inactive","15/12/2005 00:00:00 - 31/07/2007 23:59:59","Ord River Regeneration Reserve 28538 - Luman Loc. 10","Jun-17","(?i)^[\s?.*-:]*The[^A-Z0-9]+Officer[^A-Z0-9]+in[^A-Z0-9]+Charge[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+Ord[^A-Z0-9]+River[^A-Z0-9]+Regeneration[^A-Z0-9]+Reserve[^A-Z0-9]+28538[^A-Z0-9]+Department[^A-Z0-9]+of[^A-Z0-9]+Agriculture[^A-Z0-9]+Kununurra[^A-Z0-9]+being[^A-Z0-9]+advised[^A-Z0-9]+of[^A-Z0-9]+all[^A-Z0-9]+intended[^A-Z0-9]+activities[^A-Z0-9]+on[^A-Z0-9]+the[^A-Z0-9]+reserve[^A-Z0-9]+prior[^A-Z0-9]+to[^A-Z0-9]+the[^A-Z0-9]+commencement[^A-Z0-9]+of[^A-Z0-9]+those[^A-Z0-9]+activities[\s?.*-:]*$"
"513","2","Environmental","Noogoora Burr Quarantine Area","Endorsement","The land the subject of this **LEASE** affects an area under quarantine for Noogoora Burr (under the provisions of the Agriculture and Related Resources Protection Act 1976) delineated in red and shown as File Notation Area **OPTION** in TENGRAPH. Access to the quarantine area is subject to the **LESSEE** obtaining an entry permit from the Kununurra Regional Office of the Agriculture Protection Board of Western Australia.","Inactive","21/01/2003 00:00:00 onwards","Impose on all tenements encroaching on the Noogoora Burr Quarantine Area","Jun-17","(?i)^[\s?.*-:]*The[^A-Z0-9]+land[^A-Z0-9]+the[^A-Z0-9]+subject[^A-Z0-9]+of[^A-Z0-9]+this[^A-Z0-9]+.+[^A-Z0-9]+affects[^A-Z0-9]+an[^A-Z0-9]+area[^A-Z0-9]+under[^A-Z0-9]+quarantine[^A-Z0-9]+for[^A-Z0-9]+Noogoora[^A-Z0-9]+Burr[^A-Z0-9]+under[^A-Z0-9]+the[^A-Z0-9]+provisions[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+Agriculture[^A-Z0-9]+and[^A-Z0-9]+Related[^A-Z0-9]+Resources[^A-Z0-9]+Protection[^A-Z0-9]+Act[^A-Z0-9]+1976[^A-Z0-9]+delineated[^A-Z0-9]+in[^A-Z0-9]+red[^A-Z0-9]+and[^A-Z0-9]+shown[^A-Z0-9]+as[^A-Z0-9]+File[^A-Z0-9]+Notation[^A-Z0-9]+Area[^A-Z0-9]+.+[^A-Z0-9]+in[^A-Z0-9]+TENGRAPH[^A-Z0-9]+Access[^A-Z0-9]+to[^A-Z0-9]+the[^A-Z0-9]+quarantine[^A-Z0-9]+area[^A-Z0-9]+is[^A-Z0-9]+subject[^A-Z0-9]+to[^A-Z0-9]+the[^A-Z0-9]+.+[^A-Z0-9]+obtaining[^A-Z0-9]+an[^A-Z0-9]+entry[^A-Z0-9]+permit[^A-Z0-9]+from[^A-Z0-9]+the[^A-Z0-9]+Kununurra[^A-Z0-9]+Regional[^A-Z0-9]+Office[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+Agriculture[^A-Z0-9]+Protection[^A-Z0-9]+Board[^A-Z0-9]+of[^A-Z0-9]+Western[^A-Z0-9]+Australia[\s?.*-:]*$"
"514","3","Environmental","Threatened Ecological Communities","Endorsement","The land the subject of this **LEASE** may affect a Threatened Ecological Community. The **LESSEE** is advised to contact the Department of Parks and Wildlife'sThreatened Species and Communities Unit for detailed information on management.","Active","01/08/2006 00:00:01 onwards","Impose on all tenements encroaching onto Threatened Ecological Communities","Jun-17","(?i)^[\s?.*-:]*The[^A-Z0-9]+land[^A-Z0-9]+the[^A-Z0-9]+subject[^A-Z0-9]+of[^A-Z0-9]+this[^A-Z0-9]+.+[^A-Z0-9]+may[^A-Z0-9]+affect[^A-Z0-9]+a[^A-Z0-9]+Threatened[^A-Z0-9]+Ecological[^A-Z0-9]+Community[^A-Z0-9]+The[^A-Z0-9]+.+[^A-Z0-9]+is[^A-Z0-9]+advised[^A-Z0-9]+to[^A-Z0-9]+contact[^A-Z0-9]+the[^A-Z0-9]+Department[^A-Z0-9]+of[^A-Z0-9]+Parks[^A-Z0-9]+and[^A-Z0-9]+Wildlife[^A-Z0-9]+sThreatened[^A-Z0-9]+Species[^A-Z0-9]+and[^A-Z0-9]+Communities[^A-Z0-9]+Unit[^A-Z0-9]+for[^A-Z0-9]+detailed[^A-Z0-9]+information[^A-Z0-9]+on[^A-Z0-9]+management[\s?.*-:]*$"
"514","4","Environmental","Threatened Ecological Communities","Endorsement","The land the subject of this **LEASE** may affect a Threatened Ecological Community. The **LESSEE** is advised to contact the Department of Biodiversity and drilling unless the written approval of the the Department of Water is first obtained.","Active","01/07/2017 00:00:02 onwards","Impose on all tenements encroaching onto Threatened","Mar-18","(?i)^[\s?.*-:]*The[^A-Z0-9]+land[^A-Z0-9]+the[^A-Z0-9]+subject[^A-Z0-9]+of[^A-Z0-9]+this[^A-Z0-9]+.+[^A-Z0-9]+may[^A-Z0-9]+affect[^A-Z0-9]+a[^A-Z0-9]+Threatened[^A-Z0-9]+Ecological[^A-Z0-9]+Community[^A-Z0-9]+The[^A-Z0-9]+.+[^A-Z0-9]+is[^A-Z0-9]+advised[^A-Z0-9]+to[^A-Z0-9]+contact[^A-Z0-9]+the[^A-Z0-9]+Department[^A-Z0-9]+of[^A-Z0-9]+Biodiversity[^A-Z0-9]+and[^A-Z0-9]+drilling[^A-Z0-9]+unless[^A-Z0-9]+the[^A-Z0-9]+written[^A-Z0-9]+approval[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+the[^A-Z0-9]+Department[^A-Z0-9]+of[^A-Z0-9]+Water[^A-Z0-9]+is[^A-Z0-9]+first[^A-Z0-9]+obtained[\s?.*-:]*$"
"514","4","Environmental","Threatened Ecological Communities","Endorsement","The land the subject of this **LEASE** may affect a Threatened Ecological Community. The **LESSEE** is advised to contact the Department of Biodiversity Conservation and Attractions (DBCA) Threatened Species and Communities Unit for detailed information on management.","Active","01/07/2017 00:00:02 onwards","Impose on all tenements encroaching onto Threatened Ecological Communities","Mar-18","(?i)^[\s?.*-:]*The[^A-Z0-9]+land[^A-Z0-9]+the[^A-Z0-9]+subject[^A-Z0-9]+of[^A-Z0-9]+this[^A-Z0-9]+.+[^A-Z0-9]+may[^A-Z0-9]+affect[^A-Z0-9]+a[^A-Z0-9]+Threatened[^A-Z0-9]+Ecological[^A-Z0-9]+Community[^A-Z0-9]+The[^A-Z0-9]+.+[^A-Z0-9]+is[^A-Z0-9]+advised[^A-Z0-9]+to[^A-Z0-9]+contact[^A-Z0-9]+the[^A-Z0-9]+Department[^A-Z0-9]+of[^A-Z0-9]+Biodiversity[^A-Z0-9]+Conservation[^A-Z0-9]+and[^A-Z0-9]+Attractions[^A-Z0-9]+DBCA[^A-Z0-9]+Threatened[^A-Z0-9]+Species[^A-Z0-9]+and[^A-Z0-9]+Communities[^A-Z0-9]+Unit[^A-Z0-9]+for[^A-Z0-9]+detailed[^A-Z0-9]+information[^A-Z0-9]+on[^A-Z0-9]+management[\s?.*-:]*$"
"514","5","Environmental","Threatened Ecological Communities","Endorsement","The land the subject of this **LEASE** may affect a Threatened Ecological Community. The **LESSEE** is advised to contact the Department of Biodiversity Conservation and Attractions (DBCA) Threatened Species and Communities Unit for further information on this Threatened Ecological Community at communities.data@dbca.wa.gov.au.","Active","25/07/2019 00:00:03 onwards","Impose on all tenements encroaching onto Threatened Ecological Communities","Feb-20","(?i)^[\s?.*-:]*The[^A-Z0-9]+land[^A-Z0-9]+the[^A-Z0-9]+subject[^A-Z0-9]+of[^A-Z0-9]+this[^A-Z0-9]+.+[^A-Z0-9]+may[^A-Z0-9]+affect[^A-Z0-9]+a[^A-Z0-9]+Threatened[^A-Z0-9]+Ecological[^A-Z0-9]+Community[^A-Z0-9]+The[^A-Z0-9]+.+[^A-Z0-9]+is[^A-Z0-9]+advised[^A-Z0-9]+to[^A-Z0-9]+contact[^A-Z0-9]+the[^A-Z0-9]+Department[^A-Z0-9]+of[^A-Z0-9]+Biodiversity[^A-Z0-9]+Conservation[^A-Z0-9]+and[^A-Z0-9]+Attractions[^A-Z0-9]+DBCA[^A-Z0-9]+Threatened[^A-Z0-9]+Species[^A-Z0-9]+and[^A-Z0-9]+Communities[^A-Z0-9]+Unit[^A-Z0-9]+for[^A-Z0-9]+further[^A-Z0-9]+information[^A-Z0-9]+on[^A-Z0-9]+this[^A-Z0-9]+Threatened[^A-Z0-9]+Ecological[^A-Z0-9]+Community[^A-Z0-9]+at[^A-Z0-9]+communities[^A-Z0-9]+data[^A-Z0-9]+dbca[^A-Z0-9]+wa[^A-Z0-9]+gov[^A-Z0-9]+au[\s?.*-:]*$"
"515","2","General","NWN ILUA ( L and G only) NWN ILUA ( M only) NWN ILUA ( P, E and R only)","Condition","In respect to NWN ILUA the following conditions apply:","Active","18/09/2003 00:00:00 onwards","","Feb-20","(?i)^[\s?.*-:]*In[^A-Z0-9]+respect[^A-Z0-9]+to[^A-Z0-9]+NWN[^A-Z0-9]+ILUA[^A-Z0-9]+the[^A-Z0-9]+following[^A-Z0-9]+conditions[^A-Z0-9]+apply[\s?.*-:]*$"
"516","2","General","NWN ILUA ( L and G only) NWN ILUA ( M only) NWN ILUA ( P, E and R only)","Condition","The grant of the **OPTION** has been made in accordance with the Nharnuwangga Wajarri and Ngarlawangga Indigenous Land Use Agreement between the State of Western Australia and the Native Title Holders registered under Section 24CL of the Native Title Act 1993 on 5 July 2001.","Inactive","18/09/2003 00:00:00 - 09/05/2005 23:59:59","Impose on P, E, R, L, & G that are subject to NWN ILUA","Jun-17","(?i)^[\s?.*-:]*The[^A-Z0-9]+grant[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+.+[^A-Z0-9]+has[^A-Z0-9]+been[^A-Z0-9]+made[^A-Z0-9]+in[^A-Z0-9]+accordance[^A-Z0-9]+with[^A-Z0-9]+the[^A-Z0-9]+Nharnuwangga[^A-Z0-9]+Wajarri[^A-Z0-9]+and[^A-Z0-9]+Ngarlawangga[^A-Z0-9]+Indigenous[^A-Z0-9]+Land[^A-Z0-9]+Use[^A-Z0-9]+Agreement[^A-Z0-9]+between[^A-Z0-9]+the[^A-Z0-9]+State[^A-Z0-9]+of[^A-Z0-9]+Western[^A-Z0-9]+Australia[^A-Z0-9]+and[^A-Z0-9]+the[^A-Z0-9]+Native[^A-Z0-9]+Title[^A-Z0-9]+Holders[^A-Z0-9]+registered[^A-Z0-9]+under[^A-Z0-9]+Section[^A-Z0-9]+24CL[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+Native[^A-Z0-9]+Title[^A-Z0-9]+Act[^A-Z0-9]+1993[^A-Z0-9]+on[^A-Z0-9]+5[^A-Z0-9]+July[^A-Z0-9]+2001[\s?.*-:]*$"
"517","1","General","NWN ILUA ( L and G only) NWN ILUA ( M only) NWN ILUA ( P, E and R only)","Condition","The rights conferred by this **OPTION** may not be exercised until a Heritage Agreement (as defined in the Nharnuwangga Wajarri and Ngarlawangga Indigenous Land Use Agreement) has been entered into in respect of the **OPTION** provided that this restriction only applies for so long as the Nharnuwangga Wajarri and Ngarlawangga Indigenous Land Use Agreement is in force.","Active","17/09/2003 00:00:00 onwards","Impose on P, E, R, L, & G that are subject to NWN ILUA","Feb-20","(?i)^[\s?.*-:]*The[^A-Z0-9]+rights[^A-Z0-9]+conferred[^A-Z0-9]+by[^A-Z0-9]+this[^A-Z0-9]+.+[^A-Z0-9]+may[^A-Z0-9]+not[^A-Z0-9]+be[^A-Z0-9]+exercised[^A-Z0-9]+until[^A-Z0-9]+a[^A-Z0-9]+Heritage[^A-Z0-9]+Agreement[^A-Z0-9]+as[^A-Z0-9]+defined[^A-Z0-9]+in[^A-Z0-9]+the[^A-Z0-9]+Nharnuwangga[^A-Z0-9]+Wajarri[^A-Z0-9]+and[^A-Z0-9]+Ngarlawangga[^A-Z0-9]+Indigenous[^A-Z0-9]+Land[^A-Z0-9]+Use[^A-Z0-9]+Agreement[^A-Z0-9]+has[^A-Z0-9]+been[^A-Z0-9]+entered[^A-Z0-9]+into[^A-Z0-9]+in[^A-Z0-9]+respect[^A-Z0-9]+of[^A-Z0-9]+the[^A-Z0-9]+.+[^A-Z0-9]+provided[^A-Z0-9]+that[^A-Z0-9]+this[^A-Z0-9]+restriction[^A-Z0-9]+only[^A-Z0-9]+applies[^A-Z0-9]+for[^A-Z0-9]+so[^A-Z0-9]+long[^A-Z0-9]+as[^A-Z0-9]+the[^A-Z0-9]+Nharnuwangga[^A-Z0-9]+Wajarri[^A-Z0-9]+and[^A-Z0-9]+Ngarlawangga[^A-Z0-9]+Indigenous[^A-Z0-9]+Land[^A-Z0-9]+Use[^A-Z0-9]+Agreement[^A-Z0-9]+is[^A-Z0-9]+in[^A-Z0-9]+force[\s?.*-:]*$"
"518","1","General","NWN ILUA ( P, E and R only)","Condition","The holder from time to time of this **OPTION** shall not so long as the Nharnuwangga Wajarri and Ngarlawangga Indigenous Land Use Agreement is in force carry out an exploration activity (as defined in the Nharnuwangga Wajarri and Ngarlawangga Indigenous Land Use Agreement) other than in accordance with the Heritage Agreement.","Active","17/09/2003 00:00:00 onwards","Imposed on P, E & R that are subject to NWN ILUA","Feb-20","(?i)^[\s?.*-:]*The[^A-Z0-9]+holder[^A-Z0-9]+from[^A-Z0-9]+time[^A-Z0-9]+to[^A-Z0-9]+time[^A-Z0-9]+of[^A-Z0-9]+this[^A-Z0-9]+.+[^A-Z0-9]+shall[^A-Z0-9]+not[^A-Z0-9]+so[^A-Z0-9]+long[^A-Z0-9]+as[^A-Z0-9]+the[^A-Z0-9]+Nharnuwangga[^A-Z0-9]+Wajarri[^A-Z0-9]+and[^A-Z0-9]+Ngarlawangga[^A-Z0-9]+Indigenous[^A-Z0-9]+Land[^A-Z0-9]+Use[^A-Z0-9]+Agreement[^A-Z0-9]+is[^A-Z0-9]+in[^A-Z0-9]+force[^A-Z0-9]+carry[^A-Z0-9]+out[^A-Z0-9]+an[^A-Z0-9]+exploration[^A-Z0-9]+activity[^A-Z0-9]+as[^A-Z0-9]+defined[^A-Z0-9]+in[^A-Z0-9]+the[^A-Z0-9]+Nharnuwangga[^A-Z0-9]+Wajarri[^A-Z0-9]+and[^A-Z0-9]+Ngarlawangga[^A-Z0-9]+Indigenous[^A-Z0-9]+Land[^A-Z0-9]+Use[^A-Z0-9]+Agreement[^A-Z0-9]+other[^A-Z0-9]+than[^A-Z0-9]+in[^A-Z0-9]+accordance[^A-Z0-9]+with[^A-Z0-9]+the[^A-Z0-9]+Heritage[^A-Z0-9]+Agreement[\s?.*-:]*$"
"519","1","General","NWN ILUA ( L and G only)","Condition","The holder from time to time of this **OPTION** shall not so long as the Nharnuwangga Wajarri and Ngarlawangga Indigenous Land Use Agreement is in force carry out an ancillary activity (as defined in the Nharnuwangga Wajarri and Ngarlawangga Indigenous Land Use Agreement) other than in accordance with the Heritage Agreement.","Active","17/09/2003 00:00:00 onwards","Impose on L & G that are subject to the NWN ILUA","Feb-20","(?i)^[\s?.*-:]*The[^A-Z0-9]+holder[^A-Z0-9]+from[^A-Z0-9]+time[^A-Z0-9]+to[^A-Z0-9]+time[^A-Z0-9]+of[^A-Z0-9]+this[^A-Z0-9]+.+[^A-Z0-9]+shall[^A-Z0-9]+not[^A-Z0-9]+so[^A-Z0-9]+long[^A-Z0-9]+as[^A-Z0-9]+the[^A-Z0-9]+Nharnuwangga[^A-Z0-9]+Wajarri[^A-Z0-9]+and[^A-Z0-9]+Ngarlawangga[^A-Z0-9]+Indigenous[^A-Z0-9]+Land[^A-Z0-9]+Use[^A-Z0-9]+Agreement[^A-Z0-9]+is[^A-Z0-9]+in[^A-Z0-9]+force[^A-Z0-9]+carry[^A-Z0-9]+out[^A-Z0-9]+an[^A-Z0-9]+ancillary[^A-Z0-9]+activity[^A-Z0-9]+as[^A-Z0-9]+defined[^A-Z0-9]+in[^A-Z0-9]+the[^A-Z0-9]+Nharnuwangga[^A-Z0-9]+Wajarri[^A-Z0-9]+and[^A-Z0-9]+Ngarlawangga[^A-Z0-9]+Indigenous[^A-Z0-9]+Land[^A-Z0-9]+Use[^A-Z0-9]+Agreement[^A-Z0-9]+other[^A-Z0-9]+than[^A-Z0-9]+in[^A-Z0-9]+accordance[^A-Z0-9]+with[^A-Z0-9]+the[^A-Z0-9]+Heritage[^A-Z0-9]+Agreement[\s?.*-:]*$"
