Identifier,Version No,Category,Topics,Type,Text,Status,Version Date,Notation,Document Version
102,2,General,Ord River Regeneration Reserve,Condition,"No bulldozing, trenching with earthmoving equipment or drilling being carried out within Ord River Regeneration Reserve 28538 without the prior written approval of the Director General, Department of Agriculture. abandoned equipment, temporary buildings being disposed of or removed from the tenement in accordance with his directions.",Inactive,19/12/2005 00:00:00 - 31/07/2007 23:59:59,Ord River Regeneration Reserve 28538 - Luman Loc10,Mar-18
102,2,General,Ord River Regeneration Reserve,Condition,"No bulldozing, trenching with earthmoving equipment or drilling being carried out within Ord River Regeneration Reserve 28538 without the prior written approval of the Director General, Department of Agriculture.",Inactive,19/12/2005 00:00:00 - 31/07/2007 23:59:59,Ord River Regeneration Reserve 28538 - Luman Loc10,Jun-17
103,3,General,Ord River Regeneration Reserve,Condition,"All mining excavation within Ord River Regeneration Reserve 28538 being progressively backfilled and revegetated to the satisfaction of the Environmental Officer, DoIR and the District Manager, Department of Agriculture.",Inactive,15/12/2005 00:00:00 - 31/07/2007 23:59:59,Ord River Regeneration Reserve 28538 - Luman Loc10,Jun-17
104,2,General,Ord River Regeneration Reserve,Condition,"No interference with fences and gates being left as arranged with the Officer in Charge, Department of Agriculture Kununurra.",Inactive,15/12/2005 00:00:00 - 31/07/2007 23:59:59,Ord River Regeneration Reserve 28538 - Luman Loc10,Jun-17
105,1,General,Ord River Regeneration Reserve,Condition,Strict precautions being observed to prevent occurrence and spread of bushfires.,Inactive,01/01/2000 00:00:00 - 31/07/2007 23:59:59,Ord River Regeneration Reserve 28538 - Luman Loc10,Jun-17
106,1,General,Ord River Regeneration Reserve,Condition,The slaughtering of livestock within the reserve is strictly prohibited.,Inactive,01/01/2000 00:00:00 - 31/07/2007 23:59:59,Ord River Regeneration Reserve 28538 - Luman Loc10,Jun-17
107,4,General,Exploration Licence (Special Graticular Condition),Condition,"In the event of land currently comprised in Exploration Licence **PROMPT** later being included in this licence pursuant to: •the Savings and Transitional Provisions of the Mining Amendment Act 1990, (AGD swallow up); or •Clause 4 of the Third Schedule to the Mining Regulations, 1981 (GDA swallow up),then the following condition(s) shall apply in respect of that land:",Inactive,18/02/2004 00:00:00 onwards,Impose on Grat. E where it encroaches on a live (old) non- grat E. (Swallow-up),Jun-17
108,3,General,Mining on Road Verges Road - Drilling on Road Verges,Endorsement,The **LESSEE**'s attention is drawn to the provisions of : •the Conservation and Land Management Act 1984 and any Regulations thereunder; •the Bush Fires Act 1954 and any Regulations thereunder; •the Wildlife Conservation Act 1950 and any Regulations thereunder; and •the Aboriginal Heritage Act 1972 and any Regulations thereunder.,Active,01/09/2004 00:00:00 onwards,Consent to Mine road/verge:reqs prior consent of Minister:with/ without title,Feb-20
109,5,General,Mining on Road Verges Road - Drilling on Road Verges,Condition,"Prior to commencing any operations, the explorer providing the local Shire Engineer and the Executive Director, Environment Division, DMP with the proposed program of operations, including a plan of the location of the operations, and notifying them of any major changes to this program. No work shall commence until written approval for that work has been given by the Executive Director, Environment Division, DMP.",Active,09/11/2011 00:00:01 onwards,Consent to Mine road/verge:reqs prior consent of Minister:with/ without title,Jun-17
109,8,General,Mining on Road Verges Road - Drilling on Road Verges,Condition,"Prior to commencing any operations, the explorer providing the local Shire Engineer and the Executive Director, Resource and Environmental Compliance, Department of Mines, Industry Regulation and Safety (DMIRS) with the proposed program of operations, including a plan of the location of the operations, and notifying them of any major changes to this program. No work shall commence until written approval for that work has been given by the Executive Director, Resource and Environmental Compliance, DMIRS.",Active,01/02/2018 00:00:03 onwards,Consent to Mine road/verge:reqs prior consent of Minister:with/ without title,Feb-20
109,8,General,Mining on Road Verges Road - Drilling on Road Verges,Condition,"Prior to commencing any operations, the explorer providing the local Shire Engineer and the Executive Director, Resource and Environmental Compliance, Department of Mines, Industry Regulation and Safety (DMIRS) with the proposed program of operations, including a plan of the location of the",Active,01/02/2018 00:00:03 onwards,Consent to Mine road/verge:reqs prior consent of Minister:with/ without title,Mar-18
110,1,General,Mining on Road Verges Road - Drilling on Road Verges,Condition,"Prior to commencing any operations, the explorer providing the local Shire Engineer with an itinerary of the proposed program and notifying the Engineer of any major changes to that itinerary.",Active,01/01/2000 00:00:00 onwards,Consent to Mine road/verge:reqs prior consent of Minister:with/ without title,Feb-20
111,1,General,Mining on Road Verges Road - Drilling on Road Verges,Condition,"All rigs, vehicles, tools and equipment being cleaned to prevent the transporting of plant diseases or weed seeds into or between sites within the exploration area.",Active,01/01/2000 00:00:00 onwards,Consent to Mine road/verge:reqs prior consent of Minister:with/ without title,Feb-20
112,1,General,Mining on Road Verges Road - Drilling on Road Verges,Condition,"All necessary precautions being taken to prevent : •destruction or damage to native vegetation, •major damage to the natural soil surface, or •an increase in the risk or soil erosion; and complying with all reasonable requests of the local Shire Engineer to rehabilitate or restore vegetation or soil disturbed by the activities.",Active,01/01/2000 00:00:00 onwards,Consent to Mine road/verge:reqs prior consent of Minister:with/ without title,Feb-20
113,1,General,Mining on Road Verges Road - Drilling on Road Verges,Condition,"No drilling being conducted which will pollute or unduly interfere with watercourses or with any artificial drainage systems, or has a reasonable risk of causing such pollution or interference.",Active,01/01/2000 00:00:00 onwards,Consent to Mine road/verge:reqs prior consent of Minister:with/ without title,Feb-20
114,1,General,Mining on Road Verges Road - Drilling on Road Verges,Condition,"Any discharge of water from a drill hole being contained in a sump. Sumps are to be emplaced in pre-existing clearings, such as table drains wherever possible and backfilled upon completion of the drilling.",Active,01/01/2000 00:00:00 onwards,Consent to Mine road/verge:reqs prior consent of Minister:with/ without title,Feb-20
115,2,General,Mining on Road Verges Road - Drilling on Road Verges,Condition,"No drilling being conducted within 30 m of an existing water bore, and any holes which intersect artesian aquifers are to be backfilled and stabilised in compliance with the Rights in Water and Irrigation Act 1914 and any Regulations thereunder.",Inactive,31/08/2004 00:00:00 onwards,Consent to Mine road/verge:reqs prior consent of Minister:with/ without title,Jun-17
116,1,General,Mining on Road Verges Road - Drilling on Road Verges,Condition,"No operations interfering with any supply facility or infrastructure such as water pipelines, electricity power lines, telephone communication etc. operations, and notifying them of any major changes to this program. No work shall commence until written approval for that work has been given by the Executive Director, Resource and Environmental Compliance, DMIRS.",Inactive,01/01/2000 00:00:00 onwards,Consent to Mine road/verge:reqs prior consent of,Mar-18
116,1,General,Mining on Road Verges Road - Drilling on Road Verges,Condition,"No operations interfering with any supply facility or infrastructure such as water pipelines, electricity power lines, telephone communication etc.",Inactive,01/01/2000 00:00:00 onwards,Consent to Mine road/verge:reqs prior consent of Minister:with/ without title,Jun-17
117,1,General,Mining on Road Verges Road - Drilling on Road Verges,Condition,Taking all necessary precautions to ensure public safety while conducting activities on road verges.,Inactive,01/01/2000 00:00:00 onwards,Consent to Mine road/verge:reqs prior consent of Minister:with/ without title,Jun-17
118,1,General,Mining on Road Verges Road - Drilling on Road Verges,Condition,"All waste materials, rubbish, plastics, sample bags and equipment being removed at or before cessation of the program, and all sites being left in a clean and tidy state.",Inactive,01/01/2000 00:00:00 onwards,Consent to Mine road/verge:reqs prior consent of Minister:with/ without title,Jun-17
119,1,General,Mining on Road Verges Road - Drilling on Road Verges,Condition,"At the cessation of the exploration activity, the explorer notifying the local Shire Engineer, arranging an inspection as required, and complying with any reasonable requirements to leave the exploration sites in a clean condition.",Inactive,01/01/2000 00:00:00 onwards,Consent to Mine road/verge:reqs prior consent of Minister:with/ without title,Jun-17
120,4,General,Mining on Road Verges Road - Drilling on Road Verges,Condition,All drill holes being permanently capped or backfilled and made safe upon completion and being left in a safe condition according to Department of Mines and Petroleum guidelines.,Inactive,01/01/2009 00:00:00 onwards,Consent to Mine road/verge:reqs prior consent of Minister:with/ without title,Jun-17
121,2,General,Mining on Road Verges Road - Drilling on Road Verges,Condition,Details of all activities undertaken on the road reserve being included in the annual mineral exploration report (refer to DMP guidelines for preparing exploration reports on mining tenements).,Inactive,06/04/2009 00:00:01 onwards,Consent to Mine road/verge:reqs prior consent of Minister:with/ without title,Jun-17
122,1,General,Heritage Place (W.A.),Endorsement,The land the subject of this **LEASE** affects a Heritage Place No. **PROMPT** registered pursuant to the Heritage of WA Act 1990.,Active,01/01/2000 00:00:00 onwards,Use when heritage place is situated outside a townsite,Feb-20
123,1,General,Heritage Place (W.A.),Endorsement,"The land the subject of this **LEASE** may affect a heritage place located in the **PROMPT** townsite, registered pursuant to the Heritage of WA Act 1990.",Active,01/01/2000 00:00:00 onwards,Use when heritage place is situated inside a townsite,Feb-20
124,3,General,Geoheritage Reserves,Endorsement,"Reserve **OPTION** within this tenement contains significant geological features that are listed on the State Geoheritage Register, and any collection of samples may damage or destroy the values of the sites.",Active,29/12/2009 00:00:01 onwards,Significant geol. features listed on State Geoheritage Register - use together,Mar-16
124,3,General,Geoheritage Reserves,Endorsement,"Reserve **OPTION** within this tenement contains significant geological features that are listed on the State Geoheritage Register, and any collection of samples may damage or destroy the values of the sites.",Inactive,29/12/2009 00:00:01 onwards,Significant geol. features listed on State Geoheritage Register - use together,Jun-17
124,3,General,Geoheritage Reserves,Endorsement,"Reserve **OPTION** within this tenement contains significant geological features that are listed on the State Geoheritage Register, and any collection of samples may damage or destroy the values of the sites.",Inactive,29/12/2009 00:00:01 onwards,Significant geol. features listed on State Geoheritage Register - use together Minister:with/ without title,Mar-18
125,9,General,Geoheritage Reserves,Condition,"Prior to collection of any samples from within Reserve **OPTION**, the **LESSEE** to ascertain the nature of the valuable material from the Executive Director, Geological Survey and shall not collect such material without the approval in writing of the Executive Director. Prior to commencing any activity which includes the use of scrapers, graders, bulldozers, backhoes or other mechanised equipment for surface disturbance or the excavation of costeans with the reserve, the **LESSEE** must submit a detailed description of all such proposed activities for the written approval of the Executive Director, Environment Division, DMP in consultation with the Executive Director of the Geological Survey.",Active,09/11/2011 00:00:01 onwards,Significant geol. feature listed on State Geoheritage Register - use together,Mar-16
125,11,General,Geoheritage Reserves,Condition,"Prior to collection of any samples from within Reserve **OPTION** which contains significant geological features that are listed on the State Geoheritage Register, the **LESSEE** to ascertain the nature of the valuable material from the Executive Director, Geological Survey and shall not collect such material without the approval in writing of the Executive Director. Prior to commencing any activity which includes the use of scrapers, graders, bulldozers, backhoes or other mechanised equipment for surface disturbance or the excavation of costeans with the reserve, the **LESSEE** must submit a detailed description of all such proposed activities for the written approval of the Executive Director, Environment Division, DMP in consultation with the Executive Director of the Geological Survey.",Active,27/06/2016 00:00:04 onwards,Significant geol. feature listed on State Geoheritage Register,Jun-17
125,14,General,Geoheritage Reserves,Condition,"Prior to collection of any samples from within Reserve **OPTION** which contains significant geological features that are listed on the State Geoheritage Register, the **LESSEE** to ascertain the nature of the valuable material from the Executive Director of Geoscience and Resource Strategy, Department of Mines, Industry Regulation and Safety (DMIRS) and shall not collect such material without the approval in writing of the Executive Director. Prior to commencing any activity which includes the use of scrapers, graders, bulldozers, backhoes or other mechanised equipment for surface disturbance or the excavation of costeans with the reserve, the **LESSEE** must submit a detailed description of all such proposed activities for the written approval of the Executive Director, Resource and Environmental Compliance, DMIRS in consultation with the Executive Director of Geoscience and Resource Strategy, DMIRS.",Active,01/02/2018 00:00:03 onwards,Significant geol. feature listed on State Geoheritage Register,Feb-20
126,7,Environmental,Dieback,Condition,"In areas of native vegetation within the tenement, no exploration activities commencing until the licensee provides a plan of management to prevent the spread of dieback disease (Phytophthera sp) to the Executive Director, Environment Division, DMP for assessment and until his written approval has been received. All exploration activities shall then comply with the commitments made in the management plan.",Active,09/11/2011 00:00:01 onwards,"Impose on P & E only, not where Sch.B & C are used.",Jun-17
126,9,Environmental,Dieback,Condition,"In areas of native vegetation within the tenement, no exploration activities commencing until the licensee provides a plan of management to prevent the spread of dieback disease (Phytophthera sp) to the Executive Director, Resource and Environmental Compliance, DMIRS for assessment and until his written approval has been received. All exploration activities shall then comply with the commitments made in the management plan.",Active,01/02/2018 00:00:02 onwards,"Impose on P & E only, not where Sch.B & C are used.",Mar-18
126,10,Environmental,Dieback,Condition,"In areas of native vegetation within the tenement, no exploration activities commencing until the licensee provides a plan of management to prevent the spread of dieback disease (Phytophthera species) to the Executive Director, Resource and Environmental Compliance, DMIRS for assessment and until the written approval of the Executive Director has been received. All exploration activities shall then comply with the commitments made in the management plan.",Active,03/02/2020 00:00:01 onwards,"Impose on P & E only, not where Sch.B & C are used.",Feb-20
127,1,Environmental,Swan Coastal Plain Lakes,Condition,No mining operations being carried out on the Swan Coastal Plain Lake **PROMPT** unless authorised under the Environmental Protection Act 1986.,Active,01/01/2000 00:00:00 onwards,Condition for Mining Leases on Swan Coastal Plain Lakes,Feb-20
128,5,Environmental,Declared Rare Flora,Endorsement,The land the subject of this **LEASE** affects a Rare Flora site/s (including Rare Flora Site/s **PROMPT** ) declared under the Wildlife Conservation Act 1950. The **LESSEE** is advised to contact the Department of Parks and Wildlife for information on the management of Declared Rare Flora (or Priority Listed Flora) present within the tenement area.,Active,31/08/2006 00:00:01 onwards,"Impose on all tenements affected by DRF, incl.where DRF situated on Cons. Res.",Jun-17
128,6,Environmental,Declared Rare Flora,Endorsement,The land the subject of this **LEASE** affects a Rare Flora site/s (including Rare Flora Site/s **PROMPT** ) declared under the Wildlife Conservation Act 1950. The **LESSEE** is advised to contact the Department of Biodiversity Conservation and Attractions (DBCA) for information on the management of Declared Rare Flora (or Priority Listed Flora) present within the tenement area.,Active,01/07/2017 00:00:01 onwards,"Impose on all tenements affected by DRF, incl.where DRF situated on Cons. Res.",Mar-18
128,7,Environmental,Declared Rare Flora,Endorsement,The land the subject of this **LEASE** affects a Rare Flora site/s (including Rare Flora Site/s **PROMPT** ) declared under the Wildlife Conservation Act 1950. The **LESSEE** is advised to contact the Department of Biodiversity Conservation and Attractions (DBCA) via email address flora.data@dbca.wa.gov.au (with ID numbers) to receive the population details and information on the management of Declared Rare Flora (or Priority Listed Flora) present within the tenement area.,Active,26/07/2018 00:00:02 onwards,"Impose on all tenements affected by DRF, incl.where DRF situated on Cons. Res.",Feb-20
129,2,Environmental,CALM Purchased Former Pastoral Leases,Condition,In respect to the area designated as CPL **PROMPT** in TENGRAPH the following conditions apply:,Active,28/10/2005 00:00:00 onwards,,Feb-20
130,8,Environmental,CALM Purchased Former Pastoral Leases,Condition,"Prior to any ground-disturbing activity, as defined by the Executive Director, Environment Division, DMP the licensee preparing a detailed program for each phase of proposed exploration for approval of the Executive Director, Environment Division, DMP. The program to include: •maps and/or aerial photographs showing all proposed routes, construction and upgrading of tracks, camps, drill sites and any other disturbances; •the purpose, specifications and life of all proposed disturbances; •proposals which may disturb any declared rare or geographically restricted flora and fauna; and •techniques, prescriptions and timetable for the rehabilitation of all proposed disturbances",Active,09/11/2011 00:00:01 onwards,Impose on all tenements (except for M) on CALM Purchased Former Pastoral Leases,Jun-17
130,12,Environmental,CALM Purchased Former Pastoral Leases,Condition,"Prior to any ground-disturbing activity, as defined by the Executive Director, Resource and Environmental Compliance, Department of Mines, Industry Regulation and Safety (DMIRS) the licensee preparing a detailed program for each phase of proposed exploration for approval of the Executive Director, Resource and Environmental Compliance, DMIRS. The program to include: •maps and/or aerial photographs showing all proposed routes, construction and upgrading of tracks, camps, drill sites and any other disturbances; •the purpose, specifications and life of all proposed disturbances; •proposals which may disturb any declared rare or geographically restricted flora and fauna; and •techniques, prescriptions and timetable for the rehabilitation of all proposed disturbances",Active,01/02/2018 00:00:03 onwards,Impose on all tenements (except for M) on CALM Purchased Former Pastoral Leases,Feb-20
130,12,Environmental,CALM Purchased Former Pastoral Leases,Condition,"Prior to any ground-disturbing activity, as defined by the Executive Director, Resource and Environmental Compliance, Department of Mines, Industry Regulation and Safety",Active,01/02/2018 00:00:03 onwards,Impose on all tenements (except for M) on CALM,Mar-18
131,8,Environmental,CALM Purchased Former Pastoral Leases,Condition,"The licensee, at his expense, rehabilitating all areas cleared, explored or otherwise disturbed during the term of the licence to the satisfaction of the Executive Director, Environment Division, DMP. Such rehabilitation as is appropriate and may include: •stockpiling and return of topsoil; •backfilling all holes, trenches and costeans; •ripping; •contouring to the original landform; •revegetation with seed; and •capping and backfilling of all drill holes.",Active,09/11/2011 00:00:01 onwards,Impose on all tenements (except for M) on CALM Purchased Former Pastoral Leases,Jun-17
131,10,Environmental,CALM Purchased Former Pastoral Leases,Condition,"The licensee, at his expense, rehabilitating all areas cleared, explored or otherwise disturbed during the term of the licence to the satisfaction of the Executive Director, Resource and Environmental Compliance, DMIRS. Such rehabilitation as is appropriate and may include: •stockpiling and return of topsoil; •backfilling all holes, trenches and costeans; •ripping; •contouring to the original landform; •revegetation with seed; and •capping and backfilling of all drill holes.",Active,01/02/2018 00:00:02 onwards,Impose on all tenements (except for M) on CALM Purchased Former Pastoral Leases,Mar-18
131,11,Environmental,CALM Purchased Former Pastoral Leases,Condition,"The licensee, at their expense, rehabilitating all areas cleared, explored or otherwise disturbed during the term of the licence to the satisfaction of the Executive Director, Resource and Environmental Compliance, DMIRS. Such rehabilitation as is appropriate and may include: •stockpiling and return of topsoil; •backfilling all holes, trenches and costeans; •ripping; •contouring to the original landform; •revegetation with seed; and •capping and backfilling of all drill holes.",Active,03/02/2020 00:00:01 onwards,Impose on all tenements (except for M) on CALM Purchased Former Pastoral Leases,Feb-20
132,7,Environmental,CALM Purchased Former Pastoral Leases,Condition,"Prior to the cessation of exploration/prospecting activity the licensee notifying the Environmental Officer, DMP and arranging an inspection as required.",Active,01/01/2009 00:00:00 onwards,Impose on all tenements (except for M) on CALM Purchased Former Pastoral Leases,Jun-17
132,8,Environmental,CALM Purchased Former Pastoral Leases,Condition,"Prior to the cessation of exploration/prospecting activity the licensee notifying the Environmental Officer, DMIRS and arranging an inspection as required.",Active,01/07/2017 00:00:01 onwards,Impose on all tenements (except for M) on CALM Purchased Former Pastoral Leases,Feb-20
133,1,Environmental,CALM Pastoral Lease,Condition,"Prior to any activity including the use of scrapers, graders, bulldozers, backhoes or other mechanised equipment for surface disturbance or the excavation of costeans within the area outlined by the dotted line at page 27 of Mines File 768/94, the licensee submitting a detailed description of all such proposed activities for approval of the State Mining Engineer in consultation with the Director of Geological Survey.",Inactive,01/01/2000 00:00:00 - 05/08/2002 23:59:59,Impose on all tenements on CALM Pastoral Leases,Jun-17
134,4,Environmental,Schedule A Version A1 Reserve vested CCWA & CALM managed,Condition,"Consent to mine on **PROMPT** Reserve No. **PROMPT** granted by the Minister responsible for the (DMIRS) the licensee preparing a detailed program for each phase of proposed exploration for approval of the Executive Director, Resource and Environmental Compliance, DMIRS. The program to include: •maps and/or aerial photographs showing all proposed routes, construction and upgrading of tracks, camps, drill sites and any other disturbances; •the purpose, specifications and life of all proposed disturbances; •proposals which may disturb any declared rare or geographically restricted flora and fauna; and •techniques, prescriptions and timetable for the rehabilitation of all proposed disturbances",Inactive,15/02/2006 00:00:00 onwards,Purchased Former Pastoral Leases,Mar-18
134,4,Environmental,Schedule A Version A1 Reserve vested CCWA & CALM managed,Condition,Consent to mine on **PROMPT** Reserve No. **PROMPT** granted by the Minister responsible for the Mining Act 1978 on **PROMPT** subject to the following conditions.,Inactive,15/02/2006 00:00:00 onwards,,Jun-17
135,2,Environmental,Schedule A Version A1 Reserve vested CCWA & CALM managed,Endorsement,The grant of this licence not inferring automatic approval to mine or the subsequent grant of a mining lease in accordance with Section 75 of the Mining Act.,Inactive,18/10/2004 00:00:00 onwards,Impose on P & E where reserve is vested in CCWA & managed by CALM,Jun-17
136,5,Environmental,Schedule A Version A1 Reserve vested CCWA & CALM managed,Endorsement,"The licensee's attention is drawn to the provisions of: •the Conservation and Land Management Act 1984 and any Regulations thereunder; •the Bush Fires Act 1954 and any Regulations thereunder; and •the Wildlife Conservation Act 1950 and any Regulations thereunder (excepting the Regulations 46 a,b,c,d,g,i, l and o insofar as non- compliance occurs as an unavoidable incident or reasonable consequence in the performance of the approved exploration program).",Inactive,18/10/2004 00:00:00 onwards,Impose on P & E where reserve is vested in CCWA & managed by CALM,Jun-17
137,4,Environmental,Schedule A Version A1 Reserve vested CCWA & CALM managed,Condition,"Prior to accessing the reserve the licensee consulting with and ensuring that, where required by the Regional/District Manager, Department of Environment and Conservation (DEC), all vehicles, machinery and equipment entering the area are cleaned down to remove soil and plant propagules and adhering to such conditions specified by the Regional/District Manager, DEC, for the prevention of the spread of soil borne diseases.",Inactive,01/08/2006 00:00:01 onwards,Impose on P & E where reserve is vested in CCWA & managed by DEC,Jun-17
138,3,Environmental,Schedule A Version A1 Reserve vested CCWA & CALM managed,Condition,"Access to and from and the movement of vehicles and personnel being restricted to ground or seasonal conditions and routes approved by the Regional/District Manager, DEC.",Inactive,01/08/2006 00:00:00 onwards,Impose on P & E where reserve is vested in CCWA & managed by DEC,Jun-17
139,3,Environmental,Schedule A Version A1 Reserve vested CCWA & CALM managed,Condition,"The Regional/District Manager, DEC, being supplied with an itinerary and program of the locations of operations on the licence area and informed at least seven days in advance of any changes to that itinerary.",Inactive,01/08/2006 00:00:00 onwards,Impose on P & E where reserve is vested in CCWA & managed by DEC,Jun-17
140,6,Environmental,Schedule A Version A1 Reserve vested CCWA & CALM managed,Condition,"Prior to any activity not specified as ""environmental disturbance"" the licensee preparing a program for each phase of the proposed exploration for approval of the Executive Director, Environment Division, DMP in agreement with the Regional/District Manager, DEC.",Inactive,09/11/2011 00:00:01 onwards,Impose on P & E where reserve is vested in NPNCA & managed by DEC,Jun-17
141,8,Environmental,Schedule A Version A1 Reserve vested CCWA & CALM managed,Condition,"Prior to any environmental disturbance, (as defined by the Executive Director, Environment Division, DMP in agreement Mining Act 1978 on **PROMPT** subject to the following conditions.",Inactive,09/11/2011 00:00:01 onwards,Impose on P & E where reserve is,Mar-18
141,8,Environmental,Schedule A Version A1 Reserve vested CCWA & CALM managed,Condition,"Prior to any environmental disturbance, (as defined by the Executive Director, Environment Division, DMP in agreement with the Executive Director, Department of Environment and Conservation (DEC), the Conservation Commission of WA (CCWA) and the Environmental Protection Authority), the licensee preparing a detailed program for each phase of proposed exploration for approval of the Executive Director, Environment Division, DMP in agreement with the Regional/ District Manager, DEC and the CCWA. This process may result in additional conditions being imposed together with a requirement to lodge an Unconditional Performance Bond if required. This program to describe the environmental impacts and programs for their management and is to include the following : •maps and/or aerial photographs showing the proposed locations of all ground activities and disturbances; •the purpose, specifications and extent of each activity and disturbance; •descriptions of all vegetation types (in general terms), land forms, and unusual features likely to be disturbed by such proposed disturbances. The Regional/District Manager, DEC, specifying the level of vegetation description; •details on proposals that may disturb sensitive terrestrial habitats including any declared rare flora and fauna if applicable; •techniques, prescriptions, and timetable for rehabilitation of all proposed disturbances; •undertaking for corrective measures for failed rehabilitation; •details of water requirements from within the reserve; •details of refuse disposal; and •proposals for instruction and supervision of personnel and contractors in respect to environmental conditions.",Inactive,09/11/2011 00:00:01 onwards,Impose on P & E where reserve is vested in CCWA & managed by DEC,Jun-17
142,6,Environmental,Schedule A Version A1 Reserve vested CCWA & CALM managed,Condition,"All rehabilitation being to the satisfaction of the Executive Director, Environment Division, DMP in agreement with the Regional/District Manager, DEC. with the Executive Director, Department of Environment and Conservation (DEC), the Conservation Commission of WA (CCWA) and the Environmental Protection Authority), the licensee preparing a detailed program for each phase of proposed exploration for approval of the Executive Director, Environment Division, DMP in agreement with the Regional/ District Manager, DEC and the CCWA. This process may result in additional conditions being imposed together with a requirement to lodge an Unconditional Performance Bond if required. This program to describe the environmental impacts and programs for their management and is to include the following : •maps and/or aerial photographs showing the proposed locations of all ground activities and disturbances; •the purpose, specifications and extent of each activity and disturbance; •descriptions of all vegetation types (in general terms), land forms, and unusual features likely to be disturbed by such proposed disturbances. The Regional/District Manager, DEC, specifying the level of vegetation description; •details on proposals that may disturb sensitive terrestrial habitats including any declared rare flora and fauna if applicable; •techniques, prescriptions, and timetable for rehabilitation of all proposed disturbances; •undertaking for corrective measures for failed rehabilitation; •details of water requirements from within the reserve; •details of refuse disposal; and •proposals for instruction and supervision of personnel and contractors in respect to environmental conditions.",Inactive,09/11/2011 00:00:01 onwards,Impose on P & E where reserve is vested in NPNCA & managed by DEC vested in CCWA & managed by DEC,Mar-18
142,6,Environmental,Schedule A Version A1 Reserve vested CCWA & CALM managed,Condition,"All rehabilitation being to the satisfaction of the Executive Director, Environment Division, DMP in agreement with the Regional/District Manager, DEC.",Inactive,09/11/2011 00:00:01 onwards,Impose on P & E where reserve is vested in NPNCA & managed by DEC,Jun-17
143,6,Environmental,Schedule A Version A1 Reserve vested CCWA & CALM managed,Condition,"At agreed intervals, not greater than 12 monthly, the licensee reporting to the Executive Director, Environment Division, DMP and the Regional/District Manager, DEC, on the progress of the operation and the rehabilitation program.",Inactive,09/11/2011 00:00:01 onwards,Impose on P & E where reserve is vested in NPNCA & managed by DEC,Jun-17
144,6,Environmental,Schedule A Version A1 Reserve vested CCWA & CALM managed,Condition,"Prior to the cessation of the exploration/prospecting activity in the reserve, the licensee notifying the Environmental Officer, DMP and the Regional/ District Manager, DEC, and arranging an inspection as required.",Inactive,01/01/2009 00:00:00 onwards,Impose on P & E where reserve is vested in NPNCA & managed by DEC,Jun-17
145,1,Environmental,Schedule A Version A1 Reserve vested CCWA & CALM managed,Condition,The licensee making provision to prevent spillage of fuel and discharge of pollutants generally and for all exploration sites being kept free from any rubbish and being left in a clean and tidy state.,Inactive,01/01/2000 00:00:00 onwards,Impose on P & E where reserve is vested in NPNCA & managed by CALM,Jun-17
146,6,Environmental,Schedule A Version A1 Reserve vested CCWA & CALM managed,Condition,"The licensee not establishing any camp, base works or area, fuelling depot or similar establishment on the licence area unless the site and access has received prior approval of the Executive Director, Environment Division, DMP in agreement with the Regional/District Manager, DEC.",Inactive,09/11/2011 00:00:01 onwards,Impose on P & E where reserve is vested in NPNCA & managed by DEC,Jun-17
147,1,Environmental,Schedule A Version A1 Reserve vested CCWA & CALM managed,Condition,"Domestic animals, traps, or firearms not being taken onto the reserve.",Inactive,01/01/2000 00:00:00 onwards,Impose on P & E where reserve is vested in NPNCA & managed by CALM,Jun-17
148,3,Environmental,Schedule A Version A2 Proposed Reserve not vested CCWA & CALM interest,Condition,"In respect to the area of land designated **PROMPT** in TENGRAPH, hereinafter referred to as the designated area, the following additional conditions shall apply:",Inactive,14/10/2002 00:00:00 onwards,"Impose on P & E where proposed reserve not vested in NPNCA, but CALM interest.",Jun-17
149,6,Environmental,Schedule A Version A2 Proposed Reserve not vested CCWA & CALM interest,Condition,"Prior to accessing the licence area, the licensee shall consult with the Environmental Officer, DMP, and ensure that where required all vehicles and equipment entering the designated area are washed down to remove soil and plant propagules and adhering to such conditions specified for the prevention of the spread of soil- borne diseases.",Inactive,01/01/2009 00:00:00 onwards,"Impose on P & E where proposed reserve not vested in CCWA, but CALM interest.",Jun-17
150,8,Environmental,Schedule A Version A2 Proposed Reserve not vested CCWA & CALM interest,Condition,"Prior to any activity involving disturbance to vegetation and soils including:- •exploration access; and/or •exploration sampling; the licensee preparing a detailed program for each phase of proposed exploration for written approval of the Executive Director, Environment Division, DMP.The Executive Director, Environment Division, DMP to consult with the Regional/District Manager, Department of Environment and Conservation or other government agency (as relevant) prior to approval. This program to describe the environmental impacts and programs for their management and is to include:- •maps and/or aerial photographs showing the proposed locations of all ground activities and disturbances; •the purpose, specifications and extent of each activity and disturbance; •descriptions of all vegetation types (in general terms), land forms, and unusual features likely to be disturbed by such proposed disturbances. •details on proposals that may disturb sensitive terrestrial habitats including any declared rare flora and fauna if applicable; •procedures to protect the integrity of special ecosystems such as wetland systems, mangal communities and rainforests areas (and/or associated rainforest monitoring sites) if applicable; •techniques, prescriptions, and timetable for rehabilitation of all proposed disturbances; •undertaking for corrective measures for failed rehabilitation; •details of water requirements from within the designated area; •details of refuse disposal; and •proposals for instruction and supervision of personnel and contractors in respect to environmental conditions.",Inactive,09/11/2011 00:00:01 onwards,"Impose on P & E where proposed reserve not vested in CCWA, but DEC interest.",Jun-17
